,timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,S_state,I_state,R_state,incident_cases_observable_state,beta_param_observable_state
82,82,0,82.0,0.0029175076633691788,0.051650479435920715,7.481015098555243e-22,16.403074264526367,983.597412109375,3.5801215249556234e-23,0.0029175076633691788
83,83,0,83.0,0.0029175076633691788,0.051650479435920715,7.140106018464724e-22,15.577364921569824,984.4229736328125,3.2449698672957694e-23,0.0029175076633691788
84,84,0,84.0,0.0029175076633691788,0.051650479435920715,6.830748345357169e-22,14.793213844299316,985.20703125,2.948104153721188e-23,0.0029175076633691788
85,85,0,85.0,0.0029175076633691788,0.051650479435920715,6.549380214473325e-22,14.048538208007812,985.951904296875,2.684375962420044e-23,0.0029175076633691788
86,86,0,86.0,0.0029175076633691788,0.051650479435920715,6.29291333003256e-22,13.341341018676758,986.6588745117188,2.4494197371428455e-23,0.0029175076633691788
87,87,0,87.0,0.0029175076633691788,0.051650479435920715,6.058662788166735e-22,12.669746398925781,987.3304443359375,2.2395290938125013e-23,0.0029175076633691788
88,88,0,88.0,0.0029175076633691788,0.051650479435920715,5.844280938821915e-22,12.031970977783203,987.9681396484375,2.051539438021627e-23,0.0029175076633691788
89,89,0,89.0,0.0029175076633691788,0.051650479435920715,5.647715986338053e-22,11.426280975341797,988.573974609375,1.8827374038006245e-23,0.0029175076633691788
90,90,0,90.0,0.0029175076633691788,0.051650479435920715,5.467171599770655e-22,10.85107707977295,989.149169921875,1.7308026356828766e-23,0.0029175076633691788
91,91,0,91.0,0.0029175076633691788,0.051650479435920715,5.301062989115567e-22,10.304851531982422,989.6952514648438,1.5937372645398206e-23,0.0029175076633691788
92,92,0,92.0,0.0029175076633691788,0.051650479435920715,5.14798560330826e-22,9.786116600036621,990.2141723632812,1.469805007519065e-23,0.0029175076633691788
93,93,0,93.0,0.0029175076633691788,0.051650479435920715,5.006715635094813e-22,9.293492317199707,990.705810546875,1.3575127086992076e-23,0.0029175076633691788
94,94,0,94.0,0.0029175076633691788,0.051650479435920715,4.876140853707734e-22,8.825661659240723,991.1746215820312,1.2555544088516548e-23,0.0029175076633691788
95,95,0,95.0,0.0029175076633691788,0.051650479435920715,4.7552939263506065e-22,8.38138484954834,991.6188354492188,1.1628003802740398e-23,0.0029175076633691788
96,96,0,96.0,0.0029175076633691788,0.051650479435920715,4.643303445713087e-22,7.959480285644531,992.041015625,1.0782606814164007e-23,0.0029175076633691788
97,97,0,97.0,0.0029175076633691788,0.051650479435920715,4.539396959196782e-22,7.558798789978027,992.4414672851562,1.0010665397638176e-23,0.0029175076633691788
98,98,0,98.0,0.0029175076633691788,0.051650479435920715,4.442866637688656e-22,7.1782989501953125,992.8211059570312,9.304581244923815e-24,0.0029175076633691788
99,99,0,99.0,0.0029175076633691788,0.051650479435920715,4.353107645755457e-22,6.8169426918029785,993.1832885742188,8.657670337570988e-24,0.0029175076633691788
100,100,0,100.0,0.0029175076633691788,0.051650479435920715,4.269543925609758e-22,6.473776340484619,993.5260009765625,8.06401227448601e-24,0.0029175076633691788
101,0,1,0.0,0.0013975321780890226,0.04311162233352661,999.0,1.0,0.0,1.396134614944458,0.0013975321780890226
102,1,1,1.0,0.0013975321780890226,0.04311162233352661,996.0458374023438,3.8628642559051514,0.09135947376489639,5.377130508422852,0.0013975321780890226
103,2,1,2.0,0.0013975321780890226,0.04311162233352661,984.766845703125,14.792494773864746,0.4427354633808136,20.35807228088379,0.0013975321780890226
104,3,1,3.0,0.0013975321780890226,0.04311162233352661,943.4015502929688,54.832401275634766,1.7664778232574463,72.29290008544922,0.0013975321780890226
105,4,1,4.0,0.0013975321780890226,0.04311162233352661,811.7257690429688,181.8704376220703,6.4038896560668945,206.316162109375,0.0013975321780890226
106,5,1,5.0,0.0013975321780890226,0.04311162233352661,528.8997192382812,451.4819641113281,19.61821174621582,333.7148742675781,0.0013975321780890226
107,6,1,6.0,0.0013975321780890226,0.04311162233352661,229.20050048828125,725.3856811523438,45.41370391845703,232.3519744873047,0.0013975321780890226
108,7,1,7.0,0.0013975321780890226,0.04311162233352661,75.16947937011719,845.0252685546875,79.80509185791016,88.77140045166016,0.0013975321780890226
109,8,1,8.0,0.0013975321780890226,0.04311162233352661,22.66510009765625,860.5449829101562,116.7898178100586,27.2579402923584,0.0013975321780890226
110,9,1,9.0,0.0013975321780890226,0.04311162233352661,6.894655227661133,839.6024780273438,153.50193786621094,8.089991569519043,0.0013975321780890226
111,10,1,10.0,0.0013975321780890226,0.04311162233352661,2.1780574321746826,808.7726440429688,189.0488739013672,2.461827278137207,0.0013975321780890226
112,11,1,11.0,0.0013975321780890226,0.04311162233352661,0.7196239829063416,776.0676879882812,223.21224975585938,0.7804895043373108,0.0013975321780890226
113,12,1,12.0,0.0013975321780890226,0.04311162233352661,0.24884085357189178,743.7803955078125,255.97071838378906,0.25865936279296875,0.0013975321780890226
114,13,1,13.0,0.0013975321780890226,0.04311162233352661,0.0899556502699852,712.5516967773438,287.3590087890625,0.08957909047603607,0.0013975321780890226
115,14,1,14.0,0.0013975321780890226,0.04311162233352661,0.03394075110554695,682.5392456054688,317.42657470703125,0.03237508609890938,0.0013975321780890226
